Mk,Category Type Approved,Category Registered,Mass (kg),CO2 (g/km),W (mm),Steering Axle (mm),Other Axle (mm),Ft,Fm,Engine Capacity (cm3),Engine Power (KW)
23,0,0,1431,127,2647,1551,1538,2,1,1969,90
23,0,0,1431,127,2647,1551,1538,2,1,1969,90
23,0,0,1431,127,2647,1546,1533,2,1,1969,90
23,0,0,1431,127,2647,1546,1533,2,1,1969,90
23,0,0,1431,127,2647,1546,1533,2,1,1969,90
23,0,0,1431,127,2647,1546,1533,2,1,1969,90
17,0,0,1035,108,2538,1470,1470,2,1,1199,50
17,0,0,1035,108,2538,1470,1470,2,1,1199,50
17,0,0,1035,108,2538,1470,1470,2,1,1199,50
17,0,0,1035,108,2538,1470,1470,2,1,1199,50
17,0,0,1035,108,2538,1470,1470,2,1,1199,50
17,0,0,1035,108,2538,1470,1470,2,1,1199,50
17,0,0,1035,108,2538,1470,1470,2,1,1199,50
17,0,0,1035,108,2538,1470,1470,2,1,1199,50
17,0,0,1035,108,2538,1470,1470,2,1,1199,50
17,0,0,1035,108,2538,1470,1470,2,1,1199,50
17,0,0,1035,104,2538,1470,1470,2,1,1199,60
17,0,0,1035,104,2538,1470,1470,2,1,1199,60
17,0,0,1035,104,2538,1470,1470,2,1,1199,60
17,0,0,1035,104,2538,1470,1470,2,1,1199,60
17,0,0,1035,104,2538,1470,1470,2,1,1199,60
17,0,0,1035,104,2538,1470,1470,2,1,1199,60
17,0,0,1035,104,2538,1470,1470,2,1,1199,60
17,0,0,1035,104,2538,1470,1470,2,1,1199,60
17,0,0,1035,104,2538,1470,1470,2,1,1199,60
17,0,0,1035,104,2538,1470,1470,2,1,1199,60
17,0,0,1135,99,2538,1470,1470,2,1,1199,81
17,0,0,1135,99,2538,1470,1470,2,1,1199,81
17,0,0,1135,99,2538,1470,1470,2,1,1199,81
17,0,0,1135,99,2538,1470,1470,2,1,1199,81
17,0,0,1135,99,2538,1470,1470,2,1,1199,81
17,0,0,1150,90,2538,1470,1470,0,1,1560,55
17,0,0,1150,90,2538,1470,1470,0,1,1560,55
17,0,0,1150,90,2538,1470,1470,0,1,1560,55
17,0,0,1150,90,2538,1470,1470,0,1,1560,55
17,0,0,1150,90,2538,1470,1470,0,1,1560,55
17,0,0,1035,108,2538,1470,1470,2,1,1199,50
17,0,0,1035,108,2538,1470,1470,2,1,1199,50
18,0,0,1505,134,2712,1574,1577,2,1,1618,151
18,0,0,1505,134,2712,1574,1577,2,1,1618,151
18,0,0,1505,134,2712,1574,1577,2,1,1618,151
18,0,0,1505,134,2712,1574,1577,2,1,1618,151
18,0,0,1505,134,2712,1574,1577,2,1,1618,151
18,0,0,1505,134,2712,1574,1577,2,1,1618,151
18,0,0,1505,134,2712,1574,1577,2,1,1618,151
18,0,0,1505,134,2712,1574,1577,2,1,1618,151
18,0,0,1387,95,2712,1580,1583,0,1,1461,66
18,0,0,1387,95,2712,1580,1583,0,1,1461,66
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1395,95,2712,1580,1583,0,1,1461,81
18,0,0,1443,98,2712,1574,1577,0,1,1461,81
18,0,0,1443,98,2712,1574,1577,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1387,95,2712,1580,1583,0,1,1461,81
18,0,0,1394,100,2712,1574,1577,0,1,1461,81
18,0,0,1394,100,2712,1574,1577,0,1,1461,81
18,0,0,1394,100,2712,1574,1577,0,1,1461,81
18,0,0,1394,100,2712,1574,1577,0,1,1461,81
18,0,0,1394,100,2712,1574,1577,0,1,1461,81
18,0,0,1469,103,2712,1580,1583,0,1,1598,96
18,0,0,1469,103,2712,1580,1583,0,1,1598,96
18,0,0,1469,103,2712,1580,1583,0,1,1598,96
18,0,0,1469,103,2712,1580,1583,0,1,1598,96
18,0,0,1469,103,2712,1580,1583,0,1,1598,96
18,0,0,1469,103,2712,1580,1583,0,1,1598,96
18,0,0,1469,103,2712,1580,1583,0,1,1598,96
18,0,0,1469,103,2712,1580,1583,0,1,1598,96
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
17,0,0,940,99,2340,1430,1430,2,1,1199,60
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,116,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,116,2785,1587,1587,2,1,1199,96
2,0,0,1355,116,2785,1587,1587,2,1,1199,96
2,0,0,1355,116,2785,1587,1587,2,1,1199,96
2,0,0,1355,116,2785,1587,1587,2,1,1199,96
2,0,0,1355,116,2785,1587,1587,2,1,1199,96
2,0,0,1355,116,2785,1587,1587,2,1,1199,96
2,0,0,1355,116,2785,1587,1587,2,1,1199,96
2,0,0,1355,116,2785,1587,1587,2,1,1199,96
2,0,0,1355,116,2785,1587,1587,2,1,1199,96
2,0,0,1355,116,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,116,2785,1587,1587,2,1,1199,96
2,0,0,1355,116,2785,1587,1587,2,1,1199,96
2,0,0,1355,116,2785,1587,1587,2,1,1199,96
2,0,0,1355,116,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,116,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,116,2785,1587,1587,2,1,1199,96
2,0,0,1355,116,2785,1587,1587,2,1,1199,96
2,0,0,1355,116,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,116,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
2,0,0,1355,115,2785,1587,1587,2,1,1199,96
