,Country,ID,Mk,Category Type Approved,Category Registered,Mass (kg),CO2 (g/km),W (mm),Steering Axle (mm),Other Axle (mm),Ft,Fm,Engine Capacity (cm3),Engine Power (KW)
145,BE,1195520,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
146,BE,1195528,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
147,BE,1195538,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
148,BE,1195545,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
149,BE,1195555,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
150,BE,1195559,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
151,BE,1195568,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
152,BE,1195575,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
153,BE,1195584,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
154,BE,1195591,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
155,BE,1195598,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
156,BE,1195605,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
157,BE,1195614,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
158,BE,1195624,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
159,BE,1195633,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
160,BE,1195645,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
161,BE,1195653,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
162,BE,1195661,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
163,BE,1195669,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
164,BE,1195677,Renault,M1,M1,1387.0,95.0,2712.0,1580.0,1583.0,Diesel,M,1461.0,81.0
165,BE,1195686,Renault,M1,M1,1394.0,100.0,2712.0,1574.0,1577.0,Diesel,M,1461.0,81.0
166,BE,1195694,Renault,M1,M1,1394.0,100.0,2712.0,1574.0,1577.0,Diesel,M,1461.0,81.0
167,BE,1195702,Renault,M1,M1,1394.0,100.0,2712.0,1574.0,1577.0,Diesel,M,1461.0,81.0
168,BE,1195709,Renault,M1,M1,1394.0,100.0,2712.0,1574.0,1577.0,Diesel,M,1461.0,81.0
169,BE,1195716,Renault,M1,M1,1394.0,100.0,2712.0,1574.0,1577.0,Diesel,M,1461.0,81.0
170,BE,1195722,Renault,M1,M1,1469.0,103.0,2712.0,1580.0,1583.0,Diesel,M,1598.0,96.0
171,BE,1195731,Renault,M1,M1,1469.0,103.0,2712.0,1580.0,1583.0,Diesel,M,1598.0,96.0
172,BE,1195738,Renault,M1,M1,1469.0,103.0,2712.0,1580.0,1583.0,Diesel,M,1598.0,96.0
173,BE,1195746,Renault,M1,M1,1469.0,103.0,2712.0,1580.0,1583.0,Diesel,M,1598.0,96.0
