ID,Mk,Category Type Approved,Category Registered,Ft,Fm
4002999,SEAT,M1,M1,PETROL,M
4003007,SEAT,M1,M1,PETROL,M
4003015,SEAT,M1,M1,PETROL,M
4003023,SEAT,M1,M1,PETROL,M
4003450,SEAT,M1,M1,PETROL,M
4003040,SEAT,M1,M1,PETROL,M
4002932,SEAT,M1,M1,PETROL,M
4003056,SEAT,M1,M1,PETROL,M
4003063,SEAT,M1,M1,PETROL,M
4003072,SEAT,M1,M1,PETROL,M
4003080,SEAT,M1,M1,PETROL,M
4003088,SEAT,M1,M1,PETROL,M
4003096,SEAT,M1,M1,PETROL,M
4003104,SEAT,M1,M1,PETROL,M
2459215,RENAULT,M1,M1,DIESEL,M
2459220,RENAULT,M1,M1,DIESEL,M
2459341,RENAULT,M1,M1,DIESEL,M
2459347,RENAULT,M1,M1,DIESEL,M
2459352,RENAULT,M1,M1,DIESEL,M
2459360,RENAULT,M1,M1,DIESEL,M
2459365,RENAULT,M1,M1,DIESEL,M
2459371,RENAULT,M1,M1,DIESEL,M
2459376,RENAULT,M1,M1,DIESEL,M
2459382,RENAULT,M1,M1,DIESEL,M
2459389,RENAULT,M1,M1,DIESEL,M
2459394,RENAULT,M1,M1,DIESEL,M
2459490,RENAULT,M1,M1,DIESEL,M
2459496,RENAULT,M1,M1,DIESEL,M
2459526,RENAULT,M1,M1,DIESEL,M
2459532,RENAULT,M1,M1,DIESEL,M
2459539,RENAULT,M1,M1,DIESEL,M
2459544,RENAULT,M1,M1,DIESEL,M
2459628,RENAULT,M1,M1,DIESEL,M
2459633,RENAULT,M1,M1,DIESEL,M
2459664,RENAULT,M1,M1,DIESEL,M
2459672,RENAULT,M1,M1,DIESEL,M
2459676,RENAULT,M1,M1,DIESEL,M
2459683,RENAULT,M1,M1,DIESEL,M
2459760,RENAULT,M1,M1,DIESEL,M
2459766,RENAULT,M1,M1,DIESEL,M
2459771,RENAULT,M1,M1,DIESEL,M
2459778,RENAULT,M1,M1,DIESEL,M
2459845,RENAULT,M1,M1,DIESEL,M
2459923,RENAULT,M1,M1,PETROL,M
2459930,RENAULT,M1,M1,PETROL,M
2459954,RENAULT,M1,M1,DIESEL,M
2459961,RENAULT,M1,M1,DIESEL,M
2459968,RENAULT,M1,M1,DIESEL,M
2459982,RENAULT,M1,M1,DIESEL,M
2460043,RENAULT,M1,M1,DIESEL,M
2460049,RENAULT,M1,M1,DIESEL,M
2460056,RENAULT,M1,M1,DIESEL,M
2460110,RENAULT,M1,M1,DIESEL,M
2460117,RENAULT,M1,M1,DIESEL,M
2460189,RENAULT,M1,M1,DIESEL,M
2460193,RENAULT,M1,M1,DIESEL,M
2460200,RENAULT,M1,M1,DIESEL,M
2460205,RENAULT,M1,M1,DIESEL,M
2460224,RENAULT,M1,M1,DIESEL,M
2460231,RENAULT,M1,M1,DIESEL,M
2460266,RENAULT,M1,M1,PETROL,M
2460271,RENAULT,M1,M1,PETROL,M
2460279,RENAULT,M1,M1,DIESEL,M
2460307,RENAULT,M1,M1,DIESEL,M
2460314,RENAULT,M1,M1,DIESEL,M
2460321,RENAULT,M1,M1,DIESEL,M
4588926,MERCEDES BENZ,M1,M1,Diesel,M
4588928,MERCEDES BENZ,M1,M1,Diesel,M
4588929,MERCEDES BENZ,M1,M1,Diesel,M
4588930,MERCEDES BENZ,M1,M1,Petrol,M
4588931,MERCEDES BENZ,M1,M1,Diesel,M
4588934,MERCEDES BENZ,M1,M1,Diesel,M
4588935,MERCEDES BENZ,M1,M1,Diesel,M
4588936,MERCEDES BENZ,M1,M1,Diesel,M
4588937,MERCEDES BENZ,M1,M1,Petrol,M
4588938,MERCEDES BENZ,M1,M1,Diesel,M
4588941,MERCEDES BENZ,M1,M1,Diesel,M
4588942,MERCEDES BENZ,M1,M1,Diesel,M
4588943,MERCEDES BENZ,M1,M1,Diesel,M
4588944,MERCEDES BENZ,M1,M1,Petrol,M
4588948,MERCEDES BENZ,M1,M1,Diesel,M
4588949,MERCEDES BENZ,M1,M1,Diesel,M
4588950,MERCEDES BENZ,M1,M1,Diesel,M
4588951,MERCEDES BENZ,M1,M1,Diesel,M
4588953,MERCEDES BENZ,M1,M1,Petrol,M
4588956,MERCEDES BENZ,M1,M1,Diesel,M
4588957,MERCEDES BENZ,M1,M1,Diesel,M
4588958,MERCEDES BENZ,M1,M1,Diesel,M
4588959,MERCEDES BENZ,M1,M1,Diesel,M
4588962,MERCEDES BENZ,M1,M1,Diesel,M
4588963,MERCEDES BENZ,M1,M1,Diesel,M
4588964,MERCEDES BENZ,M1,M1,Petrol,M
4588966,MERCEDES BENZ,M1,M1,Diesel,M
4588967,MERCEDES BENZ,M1,M1,Diesel,M
4588970,MERCEDES BENZ,M1,M1,Diesel,M
4588971,MERCEDES BENZ,M1,M1,Petrol,M
4588973,MERCEDES BENZ,M1,M1,Diesel,M
4588974,MERCEDES BENZ,M1,M1,Diesel,M
4588975,MERCEDES BENZ,M1,M1,Diesel,M
4588977,MERCEDES BENZ,M1,M1,Diesel,M
4588978,MERCEDES BENZ,M1,M1,Petrol,M
4588981,MERCEDES BENZ,M1,M1,Diesel,M
4588982,MERCEDES BENZ,M1,M1,Diesel,M
4588983,MERCEDES BENZ,M1,M1,Diesel,M
4588985,MERCEDES BENZ,M1,M1,Petrol,M
4588986,MERCEDES BENZ,M1,M1,Diesel,M
4588989,MERCEDES BENZ,M1,M1,Diesel,M
4588990,MERCEDES BENZ,M1,M1,Diesel,M
4588992,MERCEDES BENZ,M1,M1,Diesel,M
4588993,MERCEDES BENZ,M1,M1,Petrol,M
4588994,MERCEDES BENZ,M1,M1,Diesel,M
4588995,MERCEDES BENZ,M1,M1,Diesel,M
4588999,MERCEDES BENZ,M1,M1,Diesel,M
4589000,MERCEDES BENZ,M1,M1,Diesel,M
4589001,MERCEDES BENZ,M1,M1,Diesel,M
4589002,MERCEDES BENZ,M1,M1,Petrol,M
4589003,MERCEDES BENZ,M1,M1,Diesel,M
4589006,MERCEDES BENZ,M1,M1,Diesel,M
4589008,MERCEDES BENZ,M1,M1,Diesel,M
4589009,MERCEDES BENZ,M1,M1,Diesel,M
4589010,MERCEDES BENZ,M1,M1,Petrol,M
4589012,MERCEDES BENZ,M1,M1,Diesel,M
4589014,MERCEDES BENZ,M1,M1,Diesel,M
4589016,MERCEDES BENZ,M1,M1,Diesel,M
4589017,MERCEDES BENZ,M1,M1,Diesel,M
4589018,MERCEDES BENZ,M1,M1,Petrol,M
4589019,MERCEDES BENZ,M1,M1,Diesel,M
4589023,MERCEDES BENZ,M1,M1,Diesel,M
4589024,MERCEDES BENZ,M1,M1,Diesel,M
4589025,MERCEDES BENZ,M1,M1,Petrol,M
4589026,MERCEDES BENZ,M1,M1,Diesel,M
4589027,MERCEDES BENZ,M1,M1,Diesel,M
4589031,MERCEDES BENZ,M1,M1,Diesel,M
4589032,MERCEDES BENZ,M1,M1,Diesel,M
4589033,MERCEDES BENZ,M1,M1,Petrol,M
4589034,MERCEDES BENZ,M1,M1,Diesel,M
4589035,MERCEDES BENZ,M1,M1,Diesel,M
4589039,MERCEDES BENZ,M1,M1,Diesel,M
4589040,MERCEDES BENZ,M1,M1,Diesel,M
4589041,MERCEDES BENZ,M1,M1,Diesel,M
4589042,MERCEDES BENZ,M1,M1,Petrol,M
4589043,MERCEDES BENZ,M1,M1,Diesel,M
4589047,MERCEDES BENZ,M1,M1,Diesel,M
4589048,MERCEDES BENZ,M1,M1,Diesel,M
4589049,MERCEDES BENZ,M1,M1,Diesel,M
4589050,MERCEDES BENZ,M1,M1,Petrol,M
4589051,MERCEDES BENZ,M1,M1,Diesel,M
4589055,MERCEDES BENZ,M1,M1,Diesel,M
4589056,MERCEDES BENZ,M1,M1,Diesel,M
4589057,MERCEDES BENZ,M1,M1,Diesel,M
4589058,MERCEDES BENZ,M1,M1,Petrol,M
4589059,MERCEDES BENZ,M1,M1,Diesel,M
4589063,MERCEDES BENZ,M1,M1,Diesel,M
4589064,MERCEDES BENZ,M1,M1,Diesel,M
4589065,MERCEDES BENZ,M1,M1,Petrol,M
4589066,MERCEDES BENZ,M1,M1,Diesel,M
4589067,MERCEDES BENZ,M1,M1,Diesel,M
4589070,MERCEDES BENZ,M1,M1,Diesel,M
4589071,MERCEDES BENZ,M1,M1,Diesel,M
4589072,MERCEDES BENZ,M1,M1,Petrol,M
4589073,MERCEDES BENZ,M1,M1,Diesel,M
4589074,MERCEDES BENZ,M1,M1,Diesel,M
4589077,MERCEDES BENZ,M1,M1,Diesel,M
4589078,MERCEDES BENZ,M1,M1,Diesel,M
4589079,MERCEDES BENZ,M1,M1,Diesel,M
4589080,MERCEDES BENZ,M1,M1,Petrol,M
4589081,MERCEDES BENZ,M1,M1,Diesel,M
4589084,MERCEDES BENZ,M1,M1,Diesel,M
4589085,MERCEDES BENZ,M1,M1,Diesel,M
4589086,MERCEDES BENZ,M1,M1,Diesel,M
4589087,MERCEDES BENZ,M1,M1,Petrol,M
4589088,MERCEDES BENZ,M1,M1,Diesel,M
4589091,MERCEDES BENZ,M1,M1,Diesel,M
4589092,MERCEDES BENZ,M1,M1,Diesel,M
4589093,MERCEDES BENZ,M1,M1,Diesel,M
4589094,MERCEDES BENZ,M1,M1,Petrol,M
4589095,MERCEDES BENZ,M1,M1,Diesel,M
4589098,MERCEDES BENZ,M1,M1,Diesel,M
4589099,MERCEDES BENZ,M1,M1,Diesel,M
4589100,MERCEDES BENZ,M1,M1,Diesel,M
4589101,MERCEDES BENZ,M1,M1,Petrol,M
4589103,MERCEDES BENZ,M1,M1,Diesel,M
4589105,MERCEDES BENZ,M1,M1,Diesel,M
4589106,MERCEDES BENZ,M1,M1,Diesel,M
4589107,MERCEDES BENZ,M1,M1,Diesel,M
4589108,MERCEDES BENZ,M1,M1,Petrol,M
4589110,MERCEDES BENZ,M1,M1,Diesel,M
4589112,MERCEDES BENZ,M1,M1,Diesel,M
4589113,MERCEDES BENZ,M1,M1,Diesel,M
4589114,MERCEDES BENZ,M1,M1,Diesel,M
4589115,MERCEDES BENZ,M1,M1,Petrol,M
4589116,MERCEDES BENZ,M1,M1,Diesel,M
4589119,MERCEDES BENZ,M1,M1,Diesel,M
4589120,MERCEDES BENZ,M1,M1,Diesel,M
4589121,MERCEDES BENZ,M1,M1,Diesel,M
1195788,RENAULT,M1,M1,DIESEL,M
1195796,RENAULT,M1,M1,DIESEL,M
1195805,RENAULT,M1,M1,DIESEL,M
1195814,RENAULT,M1,M1,DIESEL,M
1195823,RENAULT,M1,M1,DIESEL,M
1195830,RENAULT,M1,M1,DIESEL,M
1195839,RENAULT,M1,M1,DIESEL,M
1195847,RENAULT,M1,M1,DIESEL,M
1195856,RENAULT,M1,M1,DIESEL,M
1195865,RENAULT,M1,M1,DIESEL,M
1195871,RENAULT,M1,M1,DIESEL,M
1195877,RENAULT,M1,M1,DIESEL,M
1195884,RENAULT,M1,M1,DIESEL,M
1195894,RENAULT,M1,M1,DIESEL,M
1195903,RENAULT,M1,M1,DIESEL,M
1195911,RENAULT,M1,M1,DIESEL,M
1195921,RENAULT,M1,M1,DIESEL,M
1195929,RENAULT,M1,M1,PETROL,M
1195932,RENAULT,M1,M1,PETROL,M
1195941,RENAULT,M1,M1,PETROL,M
1195950,RENAULT,M1,M1,PETROL,M
1195959,RENAULT,M1,M1,PETROL,M
1195967,RENAULT,M1,M1,PETROL,M
1195976,RENAULT,M1,M1,PETROL,M
1195987,RENAULT,M1,M1,PETROL,M
1195993,RENAULT,M1,M1,PETROL,M
1196003,RENAULT,M1,M1,PETROL,M
1196011,RENAULT,M1,M1,PETROL,M
1196019,RENAULT,M1,M1,PETROL,M
1196026,RENAULT,M1,M1,PETROL,M
